CID,IsomericSMILES
10851,CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
5321205,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3O)O)O
89306,CCC(=O)OC1CC2CCC1(C2(C)C)C
637141,CC(=CCC1=CC2=C(C=C1O)O[C@]3([C@@H](C2=O)[C@H]4C5=C(C=C(C=C5)O)O[C@H]6[C@]4(O3)C7=C(O6)C(=C(C=C7)O)CC=C(C)C)C8=CC(=C(C=C8)O)CC=C(C)C)C
624378,COC(=O)C1=CN=CC(=C1)C2CNCCC3=C2NC4=CC=CC=C34
10205431,CCC(C)C(=O)C1=C2C(=C(C(=C1O)CC3=C(C(=C(C(=C3O)C)O)C(=O)C)O)O)C=CC(O2)(C)C
11355692,C=C[C@@]1(CC(=CC1=O)NC=O)O
3504,CCC(C)(C)C(=O)C(=O)N1CCCC1C(=O)OCCCC2=CN=CC=C2
5320530,C1=CC=C(C=C1)CCCOC(=O)/C=C/C2=CC=CC=C2
70698130,CC1=C2C[C@H]3C(=C)[C@@H]4C[C@@H]4[C@@]3([C@H]5[C@@]2([C@@H]\6C7=C(C5)[C@H]8C[C@H]8[C@@]7([C@H](C(=O)/C6=C(/C)\C(=O)OC)O)C)OC1=O)C
10020778,C1C[N+]2(CC3=CCO[C@H]4CC(=O)N5[C@@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75)[O-]
101188265,C[C@]12CC[C@@](C[C@H]1C3=CC[C@@H]4[C@]5(CC[C@@H]([C@]([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)CO)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O)C)(C)C(=O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O
10448,CSCCCO
12305178,CC(C)[C@H]1CC[C@@H]2[C@@]1(CC[C@]3([C@]2(CC=C4[C@@H]3CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)C)C
281723,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)OC
441442,C1C=CCN[C@@H]1C(=O)O
44152935,C[C@@]12CCC[C@@]3([C@@H]1CCC45[C@H]3C[C@H](CC4)C(=O)C5O)C6N(C2)CCO6
5319680,C[C@]12CC[C@](CC1(C3=CC(=O)C4[C@]5(CC[C@@H](C(C5CC[C@]4(C3(CC2)C)C)(C)C)O)C)O)(C)C(=O)OC
33032,C(CC(=O)O)[C@@H](C(=O)O)N
100114776,CN(CC1=CC(=C(C(=C1)OC)OC)OC)C(=O)[C@@H]2CCCN(C2)S(=O)(=O)C3=C(C=CC(=C3)Cl)OC
10009802,COC1=C(C=CC(=C1)C[C@H]2CO[C@@H]([C@H]2CO)C3=CC(=C(C=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OC)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O
12098585,C1[C@H]([C@]1(C2=CC=CC=C2)F)N
11968966,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C(=C3O)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
91750202,C[C@@H]1CCC(=C(C)C)[C@]12CCC(=CC2)C
5359430,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O
445070,CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C
14137680,CC(=CCCC(=C)[C@H]1CC[C@@]2([C@@H]1CC[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)OC(=O)C)C)C)C)C
101243281,C[C@@H]1[C@@H](O[C@@]2([C@H]1[C@]3(CC[C@@]45C[C@@]46CC[C@@H](C([C@@H]6CC[C@H]5[C@@]3(C2)C)(C)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)C)OC)CC(=O)C(C)CO[C@H]9[C@@H]([C@@H]([C@@H]([C@H](O9)CO)O)O)O
11311158,C1=CC(=CC=C1C(=O)C2=C(C=C(C=C2O)O)O)O
71573597,CCCCCCCC[C@@H]([C@@H](/C=C/[C@@H](CCCCC(=O)O)O)O)O
15519442,CC1=CC[C@]2([C@@]13C[C@@]4([C@]([C@@]2(COC([C@@H]3O)O4)C)(C)O)O)O
16131237,C1C2C3C(C(C(O2)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C6=C5C7C(=CC(=O)C(C7(O)O)(O6)O)C(=O)O3)O)O)OC(=O)C8=CC(=C(C(=C8C9=C(C(=C(C=C9C(=O)O1)O)O)O)O)O)OC1=C(C(=C(C=C1C(=O)O)O)O)O
192547,COC1=CC(=CC(=C1O)OC)[C@@H]2[C@H]3COC(=O)[C@H]3CO2
139069309,C/C/1=C\CC[C@@]2([C@H](O2)C(=O)C3=C(C1)OC=C3C)C
318324,C(C(C(C(C(C=O)N)O)O)O)O
5320377,CC(=C)/C=C/C(C)(C)C=C
57998226,B1(O[C@@H]2C[C@H]3C[C@@H]([C@@]2(O1)C)C3(C)C)[C@H](CCC)NC(=O)[C@@H]4C[C@H](CN4C(=O)[C@H](C(C)(C)C)NC(=O)OC(C)(C)C)OC(=O)N5CC6=C(C5)C(=CC=C6)F
78385221,COC1=C(C=C2C(=C1)C=CN=C2C(C3=CC=C(C=C3)O)OC)O
15611,COC(=O)CCCCCCC(=O)OC
11084068,CC1=CC[C@@H](CC1O)C(=C)C
16203753,COCC1=C(C2=C(C=C1)C(=O)C3=C(C2=O)C=CC(=C3OC)O)OC
444076,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(C(CCCC(F)(F)P(=O)(O)O)(F)F)O)O)O)N
15742118,CC(=CCC1=CC(=C(C=C1O)O)C(=O)CC(=O)C2=CC(=C(C=C2)O)CC=C(C)C)C
12313974,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CC=C3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C
10436511,C[C@H]1CC2=CC3=C(C4=C2C5=C(C(=C(C=C5C([C@H]1C)OC(=O)[C@]([C@@H](CO4)C)(C)O)OC)OC)OC)OCO3
5491380,CN1CC[C@]23C=C(C(=O)C=C2[C@H]1CC4=CC(=C(C=C34)O)OC)OC
16211789,C[C@@]12CCC(C1(C)C)C(=O)C2=O
12968471,CC1(C=CC2=C(O1)C3=C(C=CC=C3OC)NC2=O)C
182181,CC(=C)C1=CC2=CC(=C(C=C2O1)OC)C(=O)C
